word occurrence
de 798
e 494
a 465
o 451
do 409
em 286
brasil 213
da 206
no 170
que 139
com 130
os 125
um 98
uma 98
é 95
país 95
como 93
por 90
dos 84
são 81
na 79
para 78
maior 74
as 72
mais 68
foi 62
brasileiro 52
ao 49
entre 49
brasileira 49
das 48
ver 47
também 46
federal 45
sul 41
estados 40
nacional 39
rio 39
américa 36
mundo 36
principal 36
paulo 33
pela 32
pelo 31
artigo 30
sendo 30
se 30
janeiro 30
grande 28
principais 27
tem 25
países 25
parte 25
não 25
à 25
sua 24
seu 23
poder 23
nas 23
sistema 23
constituição 22
política 22
ou 21
república 21
anos 21
todos 20
durante 20
governo 19
presidente 19
latina 19
território 19
século 19
após 19
população 18
pedro 18
portugal 18
guerra 18
estado 18
outros 17
militar 17
acordo 17
habitantes 16
mundial 16
mas 16
mil 16
municípios 16
milhões 15
primeiro 15
período 15
ainda 15
brasileiros 15
quase 15
saúde 15
arquitetura 15
outras 14
língua 14
portuguesa 14
além 14
distrito 14
norte 14
segundo 14
indígenas 14
história 14
artigos 14
década 14
independência 13
internacional 13
economia 13
seus 13
nos 13
regiões 13
força 13
música 13
brasília 12
região 12
união 12
português 12
desde 12
primeira 12
entanto 12
nova 12
unidos 12
apenas 12
grandes 12
eram 12
brasileiras 12
polícia 12
colonial 11
portugueses 11
já 11
joão 11
vez 11
partir 11
europeus 11
forças 11
maiores 11
vargas 11
militares 11
cada 11
número 11
cidade 10
lula 10
congresso 10
área 10
pelos 10
alguns 10
três 10
tornouse 10
quando 10
reino 10
embora 10
terra 10
aos 10
cerca 10
porto 10
ano 10
assim 10
tendo 10
nordeste 10
direito 10
popular 10
mortes 10
clima 10
estão 10
ensino 10
ser 9
nações 9
diferentes 9
organização 9
josé 9
meio 9
santa 9
pelas 9
cultura 9
d 9
através 9
econômica 9
segunda 9
eleições 9
regime 9
todas 9
partido 9
judiciário 9
pesquisa 9
cinema 9
capital 8
atual 8
total 8
censo 8
vários 8
sido 8
então 8
grupos 8
império 8
início 8
até 8
eleito 8
fim 8
níveis 8
era 8
sobre 8
escravos 8
mesmo 8
todo 8
suas 8
lei 8
posição 8
existem 8
maioria 8
xix 8
executivo 8
internacionais 8
energia 8
televisão 8
culinária 8
federativa 7
oficial 7
senado 7
tribunal 7
setembro 7
agosto 7
fronteira 7
guiana 7
pib 7
– 7
real 7
único 7
onde 7
planeta 7
forma 7
abril 7
unido 7
imperador 7
classificado 7
social 7
comum 7
eles 7
foram 7
longo 7
— 7
exemplo 7
cinco 7
políticos 7
programa 7
têm 7
superior 7
agricultura 7
catarina 7
pública 7
turismo 7
filmes 7
câmara 6
outubro 6
uruguai 6
oficialmente 6
atlântico 6
fernando 6
sob 6
dom 6
i 6
golpe 6
ditadura 6
influência 6
global 6
mercado 6
europa 6
arte 6
hoje 6
africanos 6
santo 6
toda 6
algumas 6
enquanto 6
séculos 6
xvi 6
novo 6
segurança 6
revolução 6
processo 6
apesar 6
disso 6
minas 6
outro 6
construção 6
governos 6
assumiu 6
setor 6
incluindo 6
bolsonaro 6
lugar 6
amazonas 6
interior 6
quatro 6
vezes 6
floresta 6
petróleo 6
taxa 6
imigrantes 6
pessoas 6
línguas 6
principalmente 6
sede 6
legislativo 6
justiça 6
armadas 6
atrás 6
aérea 6
veículos 6
etanol 6
educação 6
imprensa 6
literatura 6
futebol 6
este 5
ordem 5
silva 5
supremo 5
corte 5
km² 5
água 5
argentina 5
francesa 5
venezuela 5
alto 5
km 5
recursos 5
naturais 5
variedade 5
atualmente 5
vicente 5
colônia 5
depois 5
civil 5
últimos 5
mercosul 5
época 5
primeiros 5
há 5
tinha 5
costa 5
diferenças 5
tempo 5
europeia 5
oscar 5
ter 5
qualquer 5
europeias 5
importante 5
final 5
movimento 5
instituições 5
comercial 5
ficou 5
municipais 5
sociais 5
somente 5
econômicos 5
exército 5
centro 5
externa 5
gerais 5
maio 5
praticamente 5
regionais 5
eleição 5
terceiro 5
palácio 5
município 5
inclui 5
sudeste 5
condições 5
amazônica 5
problemas 5
espécies 5
seja 5
está 5
ibge 5
religião 5
fundamental 5
idioma 5
desenvolvimento 5
decisões 5
criação 5
pode 5
índice 5
considerado 5
dez 5
possui 5
transporte 5
aeronaves 5
indústria 5
produtos 5
combustível 5
globo 5
melhores 5
energética 5
mw 5
tecnologia 5
informações 4
esta 4
nacionais 4
alta 4
dezembro 4
março 4
proclamação 4
paraguai 4
base 4
us 4
internet 4
br 4
territorial 4
decorrência 4
forte 4
oceano 4
equador 4
civis 4
habitats 4
cabral 4
meses 4
antes 4
tratado 4
lisboa 4
inicialmente 4
independente 4
qual 4
chamada 4
republicano 4
democrática 4
assumir 4
potência 4
hemisfério 4
café 4
corrupção 4
nome 4
tipo 4
haviam 4
cujo 4
serra 4
dois 4
teve 4
fronteiras 4
chegada 4
guerras 4
escravidão 4
relações 4
colonização 4
comércio 4
pernambuco 4
esse 4
açúcar 4
contra 4
maranhão 4
devido 4
ouro 4
tanto 4
formas 4
algarves 4
vi 4
príncipe 4
regente 4
liberal 4
ii 4
central 4
posteriores 4
estabilidade 4
tornou 4
itália 4
pouco 4
homens 4
crise 4
presidencial 4
pessoa 4
presidência 4
movimentos 4
realizada 4
industrial 4
menos 4
cargo 4
estudantes 4
momento 4
econômico 4
mandato 4
político 4
partidos 4
rousseff 4
turno 4
votos 4
recebeu 4
planalto 4
objetivo 4
geografia 4
mapa 4
china 4
utc− 4
tropical 4
muitas 4
seca 4
áreas 4
incluem 4
rios 4
oito 4
bilhões 4
paraná 4
iguaçu 4
mineração 4
instituto 4
proporção 4
duas 4
recife 4
campinas 4
espírito 4
unidade 4
alegre 4
brancos 4
médio 4
aprovação 4
às 4
federação 4
trabalho 4
responsável 4
leis 4
serem 4
papel 4
situações 4
operações 4
atividade 4
oms 4
taxas 4
homicídios 4
grupo 4
marinha 4
navais 4
especialmente 4
avaliados 4
turistas 4
melhor 4
universidade 4
universidades 4
fontes 4
matriz 4
representa 4
nuclear 4
santos 4
rede 4
aeroportos 4
lançamento 4
estilos 4
influenciada 4
modernista 4
xx 4
festival 4
artes 4
esportes 4
jogos 4
fonte 3
s 3
bandeira 3
luiz 3
inácio 3
vicepresidente 3
deputados 3
legislatura 3
administração 3
bolívia 3
colômbia 3
peru 3
suriname 3
estimativa 3
nominal 3
utc 3
− 3
cód 3
diversas 3
locais 3
exceto 3
departamento 3
noroeste 3
sudoeste 3
formam 3
diversidade 3
selvagens 3
